iter	RMSEWithUncertainty
0	1.497009245
1	1.437567369
2	1.377745964
3	1.328595059
4	1.285564083
5	1.247503265
6	1.208269489
7	1.175224724
8	1.148311063
9	1.117061036
10	1.089998887
11	1.06788228
12	1.046322762
13	1.026930117
14	1.009102873
15	0.9846442896
16	0.969441168
17	0.9523375469
18	0.9396781411
19	0.9253845689
20	0.9127434315
21	0.9017457835
22	0.8900367286
23	0.8814797976
24	0.8740132979
25	0.8609875765
26	0.8507961292
27	0.8414625597
28	0.8338607367
29	0.8225211805
30	0.8158163653
31	0.807915022
32	0.8007154165
33	0.794320474
34	0.7872662628
35	0.7800227262
36	0.7751775541
37	0.7677508966
38	0.7625278027
39	0.7575042035
40	0.7525280431
41	0.7467218898
42	0.7390131885
43	0.7346663699
44	0.7304990973
45	0.7262165247
46	0.7213567845
47	0.7183733368
48	0.7139347811
49	0.709855436
50	0.7064358593
51	0.7014192725
52	0.6961888876
53	0.6930181269
54	0.6886960484
55	0.6848421993
56	0.6828398137
57	0.6789036832
58	0.6761265218
59	0.6711038122
60	0.6680040471
61	0.6617718041
62	0.6557421663
63	0.6490940162
64	0.6449998935
65	0.6434288097
66	0.6420216213
67	0.6401263437
68	0.6376779869
69	0.6361815836
70	0.6301456522
71	0.6280163029
72	0.6250001148
73	0.6230968482
74	0.6211764195
75	0.6189917305
76	0.6162580991
77	0.614316125
78	0.6124216157
79	0.6102408032
80	0.60825044
81	0.6056143902
82	0.6024586329
83	0.5996126999
84	0.5951485151
85	0.5933002397
86	0.592000387
87	0.5873139348
88	0.5863256478
89	0.5836173972
90	0.5799633155
91	0.576274181
92	0.574920355
93	0.5698556994
94	0.5681952846
95	0.5653522179
96	0.563810111
97	0.560669893
98	0.5594918606
99	0.557721354
100	0.552930189
101	0.5499300274
102	0.5486829131
103	0.5473946181
104	0.5440552743
105	0.5425894665
106	0.5406229346
107	0.5385502955
108	0.5359236257
109	0.5331946233
110	0.5314486397
111	0.5287217524
112	0.5262921488
113	0.5254847568
114	0.524310789
115	0.5208002093
116	0.5188349816
117	0.5163385737
118	0.5143806486
119	0.5127819692
120	0.5104013453
121	0.5088047283
122	0.5068800941
123	0.5054943556
124	0.5024255058
125	0.499685032
126	0.4975166687
127	0.4954282505
128	0.4929759783
129	0.4905026496
130	0.4895761003
131	0.4873241085
132	0.4859500554
133	0.4843696326
134	0.4830763777
135	0.4804064734
136	0.4777915384
137	0.4748670707
138	0.4737685004
139	0.4720575265
140	0.4712668246
141	0.4705087956
142	0.4694786829
143	0.4675289758
144	0.4652065295
145	0.4630463162
146	0.4619964962
147	0.4613235405
148	0.4593327203
149	0.4571858744
150	0.4553537724
151	0.4535040377
152	0.4526933804
153	0.4516791798
154	0.4495623358
155	0.4486614592
156	0.4465162269
157	0.4447437415
158	0.4422366257
159	0.4394901398
160	0.4387435397
161	0.4379088762
162	0.4364409985
163	0.4348665527
164	0.4319143487
165	0.4303455177
166	0.4281386208
167	0.4263919027
168	0.4244518567
169	0.4233420609
170	0.4219900342
171	0.4210087022
172	0.4195455271
173	0.4184285937
174	0.4176507548
175	0.4155311805
176	0.4133078176
177	0.412044721
178	0.4109050159
179	0.4103989841
180	0.4085762561
181	0.4072180733
182	0.4060766611
183	0.4042059519
184	0.4031656196
185	0.4016422755
186	0.4004662954
187	0.3981836191
188	0.3969066314
189	0.3957994513
190	0.3950621412
191	0.3943792463
192	0.3935257325
193	0.3926040935
194	0.3908192183
195	0.3895803052
196	0.3882948854
197	0.387660226
198	0.3864481314
199	0.385300932
200	0.3838300907
201	0.3826653134
202	0.3820236367
203	0.3808332497
204	0.3800596404
205	0.3794312991
206	0.3785502723
207	0.3774459069
208	0.375677881
209	0.3753442456
210	0.3743676236
211	0.3727837079
212	0.3716916532
213	0.3697666758
214	0.3685404855
215	0.3680157296
216	0.3670766512
217	0.3661875973
218	0.3651711737
219	0.3640670823
220	0.3637695441
221	0.3633146656
222	0.362200265
223	0.3609424079
224	0.3601159703
225	0.3581658893
226	0.3574666808
227	0.3565483965
228	0.3550309097
229	0.354087619
230	0.3533335243
231	0.3522545383
232	0.3517781922
233	0.3508650397
234	0.3504314154
235	0.3488881929
236	0.3483434882
237	0.3470353157
238	0.3464172959
239	0.3458134319
240	0.3456045904
241	0.344778574
242	0.3440830858
243	0.3433070086
244	0.3425529147
245	0.3415765145
246	0.3411964907
247	0.3402873308
248	0.3398544038
249	0.3394129914
250	0.3384219144
251	0.337939016
252	0.337484699
253	0.3366425688
254	0.3361580823
255	0.3353425255
256	0.3339943127
257	0.333368254
258	0.3322130601
259	0.3318286721
260	0.3310277204
261	0.3299977937
262	0.3286320715
263	0.3273669049
264	0.3269480415
265	0.3257675755
266	0.3252773235
267	0.323815913
268	0.3229849896
269	0.3218345643
270	0.3207521136
271	0.3188701741
272	0.316593241
273	0.3152508288
274	0.3144225944
275	0.3134444711
276	0.312407048
277	0.3121113154
278	0.3112192292
279	0.3108003404
280	0.3099667007
281	0.3089471772
282	0.3083865198
283	0.3076038511
284	0.3063064632
285	0.3055878785
286	0.3051996691
287	0.3047866207
288	0.3042191171
289	0.3034837432
290	0.3030446221
291	0.3022458561
292	0.3008689083
293	0.3004569746
294	0.2997237797
295	0.2991661951
296	0.2983083553
297	0.2979707427
298	0.2973049651
299	0.2966778959
300	0.2961633031
301	0.2954960935
302	0.2948949509
303	0.2947146675
304	0.2941878982
305	0.2938031308
306	0.2933868523
307	0.2929003296
308	0.2919888761
309	0.2910655405
310	0.2897558223
311	0.2882764598
312	0.286800136
313	0.2861849835
314	0.2854760337
315	0.2851022378
316	0.2840096708
317	0.2836209776
318	0.2828658992
319	0.282107665
320	0.281649521
321	0.2812840833
322	0.2802535788
323	0.2799323727
324	0.2794216673
325	0.2790098949
326	0.2784500606
327	0.2780472009
328	0.2778603659
329	0.2759042684
330	0.2753945294
331	0.2748190131
332	0.2741805502
333	0.2735817
334	0.2732485579
335	0.2726532498
336	0.2717599115
337	0.2709001215
338	0.2699202782
339	0.2693070974
340	0.2687208344
341	0.2679824485
342	0.2675648345
343	0.2670545535
344	0.2664338146
345	0.2648709907
346	0.2643611595
347	0.2637408454
348	0.2628182237
349	0.2617502789
350	0.2609499177
351	0.260554812
352	0.2598738488
353	0.2584371639
354	0.2566009967
355	0.2559397867
356	0.2551580553
357	0.2547590182
