iter	Passed	Remaining
0	2	1100
1	3	926
2	5	863
3	6	833
4	8	808
5	9	794
6	11	779
7	12	768
8	13	759
9	15	751
10	16	755
11	18	751
12	19	747
13	21	743
14	22	739
15	24	737
16	25	735
17	27	732
18	28	728
19	30	726
20	31	722
21	33	721
22	34	717
23	35	713
24	37	711
25	38	709
26	40	708
27	41	706
28	43	705
29	44	704
30	46	703
31	47	700
32	49	698
33	50	697
34	52	697
35	54	699
36	55	699
37	59	717
38	60	715
39	62	713
40	63	711
41	65	709
42	66	706
43	67	703
44	69	700
45	70	699
46	72	696
47	73	694
48	75	692
49	76	690
50	78	690
51	79	688
52	81	686
53	82	684
54	84	682
55	85	680
56	87	677
57	88	674
58	90	674
59	91	673
60	93	671
61	96	678
62	97	676
63	98	674
64	100	672
65	101	670
66	103	668
67	104	666
68	106	664
69	107	662
70	109	660
71	111	665
72	113	663
73	114	661
74	116	659
75	117	657
76	119	655
77	120	654
78	122	652
79	123	650
80	125	648
81	126	646
82	128	645
83	129	643
84	132	647
85	134	645
86	135	643
87	137	641
88	138	639
89	140	638
90	141	636
91	143	634
92	144	633
93	146	632
94	147	630
95	149	628
96	150	626
97	152	624
98	153	623
99	155	622
100	157	621
101	159	620
102	160	619
103	162	617
104	163	616
105	165	615
106	167	614
107	168	613
108	170	612
109	172	610
110	173	609
111	175	608
112	177	606
113	178	605
114	180	604
115	182	602
116	184	603
117	185	601
118	187	599
119	188	598
120	190	596
121	191	594
122	193	592
123	194	591
124	196	589
125	198	587
126	199	586
127	200	584
128	202	582
129	204	580
130	205	579
131	207	577
132	208	575
133	210	574
134	211	572
135	213	570
136	214	569
137	216	567
138	217	565
139	219	563
140	220	561
141	221	559
142	223	557
143	225	556
144	226	555
145	228	553
146	230	552
147	231	550
148	232	548
149	234	547
150	236	545
151	237	544
152	239	542
153	240	540
154	242	538
155	243	537
156	245	535
157	246	533
158	247	531
159	249	530
160	251	528
161	252	526
162	254	525
163	255	523
164	257	521
165	258	520
166	260	518
167	261	516
168	263	515
169	264	513
170	265	511
171	267	509
172	268	508
173	270	506
174	271	505
175	273	503
176	275	501
177	276	500
178	278	498
179	279	497
180	281	495
181	282	493
182	284	492
183	285	490
184	287	488
185	288	487
186	290	485
187	291	483
188	293	482
189	294	480
190	296	479
191	297	477
192	299	475
193	300	474
194	302	472
195	303	471
196	307	472
197	308	471
198	310	469
199	312	468
200	313	466
201	315	465
202	317	464
